serialnumber
0F027W622363F6, 
0B33FX3213833F,
2452-5537-4047-2877-8904-0637-06,
4944-0058-2262-2534-9707-3020-40,
7133-1308-0330-9492-3895-3724-91,
7944-9385-5265-5964-6972-7532-66
